video_id,upload_date,title,category,video_length_sec,views,likes,comments,shares,impressions,ctr_percent,avg_view_duration_sec,watch_time_hours,estimated_revenue_usd,rpm_usd,traffic_source_primary,subs_gained,contains_sponsor,is_shorts_video,is_monetized
VID00001,2022-08-17,Video Title 1,Tech,719,91980,5380,877,645,1807072,4.09,300,7665.0,272.55,2.96,Suggested,90,0,0,0
VID00002,2022-02-21,Video Title 2,Finance,566,77739,2691,1045,636,1442282,4.39,251,5420.14,189.05,2.43,Browse,69,1,0,0
VID00003,2023-07-18,Video Title 3,Review,755,51788,2818,883,486,1042012,3.97,331,4761.62,69.19,1.34,Shorts,142,0,1,0
VID00004,2023-05-17,Video Title 4,Gaming,965,30591,1155,215,36,794571,2.85,159,1351.1,65.34,2.14,Suggested,94,0,0,0
VID00005,2023-04-03,Video Title 5,Gaming,543,70946,6142,972,169,1140610,5.22,170,3350.23,198.95,2.8,Suggested,171,0,0,0
VID00006,2022-10-13,Video Title 6,Education,543,61804,5954,777,554,898313,5.88,119,2042.97,178.0,2.88,Suggested,54,0,0,0
VID00007,2022-07-29,Video Title 7,Vlog,979,76855,2694,550,394,1135228,5.77,208,4440.51,165.16,2.15,Shorts,123,0,1,0
VID00008,2022-06-28,Video Title 8,Motivation,784,69055,6688,991,419,955117,6.23,259,4968.12,112.15,1.62,External,168,0,0,0
VID00009,2024-05-14,Video Title 9,Gaming,487,81486,5425,741,567,1255562,5.49,256,5794.56,279.42,3.43,Search,0,1,0,0
VID00010,2022-03-07,Video Title 10,Education,730,33942,1730,418,241,652730,4.2,258,2432.51,87.95,2.59,External,268,1,1,0
VID00011,2022-03-03,Video Title 11,Tech,488,89521,3167,558,840,1233071,6.26,165,4103.05,170.29,1.9,Browse,100,0,0,0
VID00012,2022-07-11,Video Title 12,Gaming,488,55927,3637,665,557,1412297,2.96,298,4629.51,87.09,1.56,Search,0,0,0,0
VID00013,2023-03-24,Video Title 13,Motivation,658,112257,9611,1077,839,2414129,3.65,264,8232.18,311.4,2.77,Browse,131,0,0,0
VID00014,2023-04-22,Video Title 14,Finance,140,29324,2331,508,105,644483,3.55,293,2386.65,42.63,1.45,Shorts,122,0,0,0
VID00015,2024-10-31,Video Title 15,Review,186,102078,3421,597,910,1339606,6.62,136,3856.28,128.99,1.26,External,114,1,1,0
VID00016,2022-02-24,Video Title 16,Music,465,55937,1963,630,80,754885,6.41,268,4164.2,124.77,2.23,Suggested,189,1,0,0
VID00017,2023-02-12,Video Title 17,Gaming,356,30457,1772,361,93,452555,5.73,178,1505.93,48.21,1.58,Search,172,0,1,0
VID00018,2024-05-09,Video Title 18,Music,675,35483,1797,563,322,466268,6.61,226,2227.54,88.64,2.5,Suggested,140,0,1,0
VID00019,2023-03-28,Video Title 19,Music,382,40389,1868,549,133,863012,3.68,282,3163.8,45.17,1.12,Browse,151,1,0,0
VID00020,2024-07-08,Video Title 20,Music,261,62724,3115,941,187,962024,5.52,255,4442.95,161.1,2.57,Suggested,112,1,0,0
VID00021,2023-07-24,Video Title 21,Comedy,951,65685,5664,1094,147,1130550,4.81,198,3612.68,102.79,1.56,Suggested,244,0,1,0
VID00022,2022-01-14,Video Title 22,Music,545,32788,3116,587,286,451004,6.27,250,2276.94,26.25,0.8,Shorts,16,0,0,0
VID00023,2022-11-23,Video Title 23,Comedy,616,49269,2875,478,271,845094,4.83,158,2162.36,56.3,1.14,Shorts,129,0,0,1
VID00024,2024-05-15,Video Title 24,Review,258,114268,10675,1493,808,2108265,4.42,319,10125.41,379.46,3.32,External,124,1,0,0
